,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,Forebay Elevation,Tailwater Elevation,Average Head,Nav Lock Tailwater Elevation,Date,0
14215,4,18.5,12.5,5.5,438.22,339.55,98.67,340.08,2023-08-13,
14216,5,18.4,12.4,5.5,438.24,339.52,98.72,340.09,2023-08-13,
14217,6,19.1,12.8,5.8,438.16,339.96,98.2,340.41,2023-08-13,
14218,7,36.9,25.4,11.0,438.17,341.14,97.03,341.33,2023-08-13,
14219,8,37.0,25.5,11.0,438.14,341.01,97.13,341.26,2023-08-13,
14220,9,37.1,25.6,11.0,437.9,341.08,96.82,341.29,2023-08-13,
14221,10,37.0,25.5,11.0,437.9,341.03,96.87,341.28,2023-08-13,
14222,11,38.5,25.5,11.0,437.68,341.17,96.51,341.37,2023-08-13,
14223,12,37.0,25.5,11.0,437.64,340.91,96.73,341.15,2023-08-13,
14224,13,22.5,14.3,6.2,437.78,339.49,98.29,339.95,2023-08-13,
14225,14,18.4,12.5,5.4,437.73,339.62,98.11,340.06,2023-08-13,
14226,15,18.4,12.4,5.4,437.93,339.49,98.44,340.0,2023-08-13,
14227,16,18.4,12.4,5.4,437.95,339.44,98.51,340.01,2023-08-13,
14228,17,18.9,12.6,5.8,437.98,339.61,98.37,340.29,2023-08-13,
14229,18,34.8,23.8,10.5,437.99,340.98,97.01,341.1,2023-08-13,
14230,19,36.9,25.5,10.9,437.97,340.98,96.99,341.13,2023-08-13,
14231,20,38.5,25.5,11.0,437.7,340.7,97.0,340.89,2023-08-13,
14232,21,37.0,25.5,11.0,437.73,340.66,97.07,340.86,2023-08-13,
14233,22,36.5,25.1,10.9,437.67,340.12,97.55,340.57,2023-08-13,
14234,23,18.4,12.4,5.5,437.69,338.7,98.99,339.21,2023-08-13,
14235,24,18.3,12.4,5.4,437.78,339.01,98.77,339.56,2023-08-13,
14236,,,,,,,,,2023-08-13,
14237,AVG,27.16,18.43,8.03,437.91,340.11,97.79,340.5,2023-08-13,
14238,,,,,,,,,2023-08-13,
14239,MAX,38.5,25.6,11.0,438.24,341.17,98.99,341.37,2023-08-13,
14240,MIN,18.3,12.4,5.4,437.64,338.7,96.51,339.21,2023-08-13,
14241,1,18.3,12.3,5.5,437.99,338.82,99.17,339.41,2023-08-14,
14242,2,18.3,12.3,5.5,438.01,338.8,99.21,339.38,2023-08-14,
14243,3,18.4,12.4,5.5,438.07,338.8,99.27,339.35,2023-08-14,
14244,4,18.5,12.5,5.6,438.17,338.81,99.36,339.36,2023-08-14,
14245,5,18.4,12.5,5.5,438.23,338.83,99.4,339.34,2023-08-14,
14246,6,18.7,12.5,5.7,438.27,338.96,99.31,339.82,2023-08-14,
14247,7,35.9,24.8,10.6,438.25,340.55,97.7,340.76,2023-08-14,
14248,8,36.7,25.2,11.0,438.22,340.46,97.76,340.71,2023-08-14,
14249,9,36.9,25.4,11.0,438.02,340.53,97.49,340.76,2023-08-14,
14250,10,36.1,24.9,10.7,438.08,339.82,98.26,340.23,2023-08-14,
14251,11,18.6,12.5,5.6,438.14,338.83,99.31,339.39,2023-08-14,
14252,12,18.4,12.4,5.5,438.12,339.16,98.96,339.66,2023-08-14,
14253,13,18.7,12.7,5.6,438.32,339.31,99.01,339.78,2023-08-14,
14254,14,36.0,24.8,10.7,438.12,340.81,97.31,341.0,2023-08-14,
14255,15,36.3,24.9,10.9,438.11,340.69,97.42,340.85,2023-08-14,
14256,16,36.2,24.9,10.9,437.87,340.77,97.1,341.0,2023-08-14,
14257,17,36.4,25.0,10.8,437.79,340.7,97.09,340.92,2023-08-14,
14258,18,36.6,25.1,11.0,437.75,340.82,96.93,340.99,2023-08-14,
14259,19,36.6,25.1,11.0,437.66,340.62,97.04,340.86,2023-08-14,
14260,20,36.5,25.1,10.9,437.6,340.68,96.92,340.82,2023-08-14,
14261,21,35.2,24.2,10.5,437.68,339.65,98.03,339.99,2023-08-14,
14262,22,18.7,12.6,5.6,437.64,338.6,99.04,339.13,2023-08-14,
14263,23,18.6,12.5,5.6,437.7,338.65,99.05,339.18,2023-08-14,
14264,24,18.6,12.5,5.5,437.85,338.57,99.28,339.12,2023-08-14,
14265,,,,,,,,,2023-08-14,
14266,AVG,27.4,18.71,8.2,437.99,339.68,98.31,340.08,2023-08-14,
14267,,,,,,,,,2023-08-14,
14268,MAX,36.9,25.4,11.0,438.32,340.82,99.4,341.0,2023-08-14,
14269,MIN,18.3,12.3,5.5,437.6,338.57,96.92,339.12,2023-08-14,
14270,1,21.5,12.4,8.6,437.81,338.76,99.05,339.27,2023-08-15,
14271,2,21.5,12.5,8.5,437.7,338.75,98.95,339.24,2023-08-15,
14272,3,21.6,12.6,8.5,437.65,338.91,98.74,339.37,2023-08-15,
14273,4,21.6,12.6,8.5,437.71,338.89,98.82,339.37,2023-08-15,
14274,5,21.6,12.6,8.5,437.61,338.84,98.77,339.34,2023-08-15,
14275,6,21.6,12.6,8.5,437.72,338.95,98.77,339.41,2023-08-15,
14276,7,21.6,12.6,8.5,437.69,338.9,98.79,339.39,2023-08-15,
14277,8,21.6,12.6,8.5,437.75,338.88,98.87,339.38,2023-08-15,
14278,9,21.6,12.6,8.5,437.7,338.78,98.92,339.34,2023-08-15,
14279,10,21.5,12.5,8.5,437.67,338.78,98.89,339.33,2023-08-15,
14280,11,21.5,12.5,8.5,437.81,338.83,98.98,339.31,2023-08-15,
14281,12,21.6,12.6,8.5,437.67,338.74,98.93,339.27,2023-08-15,
14282,13,21.6,12.6,8.5,437.67,338.73,98.94,339.22,2023-08-15,
14283,14,21.7,12.6,8.5,437.67,338.74,98.93,339.19,2023-08-15,
14284,15,21.6,12.6,8.5,437.69,338.71,98.98,339.17,2023-08-15,
14285,16,21.6,12.6,8.5,437.7,338.64,99.06,339.13,2023-08-15,
14286,17,21.6,12.6,8.5,437.61,338.6,99.01,339.1,2023-08-15,
14287,18,21.6,12.6,8.5,437.73,338.61,99.12,339.07,2023-08-15,
14288,19,21.6,12.6,8.5,437.64,339.04,98.6,339.58,2023-08-15,
14289,20,21.6,12.6,8.5,437.6,338.47,99.13,338.98,2023-08-15,
14290,21,21.5,12.5,8.5,437.6,338.47,99.13,338.94,2023-08-15,
14291,22,21.6,12.6,8.5,437.59,338.45,99.14,338.95,2023-08-15,
14292,23,21.5,12.5,8.5,437.64,338.42,99.22,338.97,2023-08-15,
14293,24,21.6,12.6,8.5,437.58,338.42,99.16,338.97,2023-08-15,
14294,,,,,,,,,2023-08-15,
14295,AVG,21.58,12.57,8.5,437.68,338.72,98.95,339.22,2023-08-15,
14296,,,,,,,,,2023-08-15,
14297,MAX,21.7,12.6,8.6,437.81,339.04,99.22,339.58,2023-08-15,
14298,MIN,21.5,12.4,8.5,437.58,338.42,98.6,338.94,2023-08-15,
14299,1,21.6,12.6,8.5,437.65,338.56,99.09,339.05,2023-08-16,
14300,2,21.6,12.6,8.5,437.64,338.6,99.04,339.08,2023-08-16,
14301,3,21.6,12.6,8.5,437.77,338.7,99.07,339.19,2023-08-16,
14302,4,21.6,12.6,8.5,437.6,338.74,98.86,339.24,2023-08-16,
14303,5,21.6,12.6,8.5,437.7,338.83,98.87,339.33,2023-08-16,
14304,6,23.1,12.6,8.5,437.72,338.93,98.79,339.41,2023-08-16,
14305,7,21.5,12.5,8.5,437.63,338.86,98.77,339.38,2023-08-16,
14306,8,21.6,12.6,8.5,437.65,338.97,98.68,339.47,2023-08-16,
14307,9,21.6,12.6,8.5,437.61,338.89,98.72,339.36,2023-08-16,
14308,10,22.1,13.1,8.5,437.6,339.32,98.28,339.46,2023-08-16,
14309,11,22.1,13.0,8.5,437.9,339.19,98.71,339.31,2023-08-16,
14310,12,22.1,13.1,8.5,437.93,339.17,98.76,339.28,2023-08-16,
14311,13,22.1,13.1,8.5,438.09,338.65,99.44,339.13,2023-08-16,
14312,14,21.6,12.5,8.6,438.25,338.51,99.74,339.02,2023-08-16,
14313,15,24.5,14.0,8.6,438.25,339.48,98.77,339.64,2023-08-16,
14314,16,34.3,25.3,8.6,438.37,339.94,98.43,340.15,2023-08-16,
14315,17,34.4,25.3,8.6,438.36,339.83,98.53,339.98,2023-08-16,
14316,18,34.4,25.3,8.6,438.32,339.82,98.5,339.97,2023-08-16,
14317,19,34.4,25.4,8.6,438.41,339.79,98.62,339.92,2023-08-16,
14318,20,34.4,25.3,8.6,438.3,340.03,98.27,340.41,2023-08-16,
14319,21,34.4,25.3,8.6,438.33,339.77,98.56,339.94,2023-08-16,
14320,22,34.3,25.3,8.6,438.33,339.73,98.6,339.92,2023-08-16,
14321,23,34.3,25.3,8.6,438.31,339.73,98.58,339.92,2023-08-16,
14322,24,22.8,13.8,8.6,438.15,338.26,99.89,338.77,2023-08-16,
14323,,,,,,,,,2023-08-16,
14324,AVG,26.17,17.02,8.55,437.99,339.18,98.82,339.51,2023-08-16,
14325,,,,,,,,,2023-08-16,
14326,MAX,34.4,25.4,8.6,438.41,340.03,99.89,340.41,2023-08-16,
14327,MIN,21.5,12.5,8.5,437.6,338.26,98.27,338.77,2023-08-16,
14328,1,22.0,12.8,8.8,438.17,338.51,99.66,339.0,2023-08-17,
14329,2,22.0,12.7,8.8,438.32,338.64,99.68,339.13,2023-08-17,
14330,3,22.1,12.8,8.8,438.16,338.73,99.43,339.17,2023-08-17,
14331,4,22.0,12.8,8.8,438.25,338.82,99.43,339.27,2023-08-17,
14332,5,22.0,12.8,8.8,438.19,338.92,99.27,339.38,2023-08-17,
14333,6,22.5,13.2,8.8,438.13,339.52,98.61,339.89,2023-08-17,
14334,7,34.8,25.6,8.7,437.91,340.43,97.48,340.86,2023-08-17,
14335,8,34.9,25.8,8.6,438.17,340.31,97.86,340.54,2023-08-17,
14336,9,35.0,25.8,8.7,438.0,340.31,97.69,340.47,2023-08-17,
14337,10,34.4,25.2,8.6,438.07,340.19,97.88,340.4,2023-08-17,
14338,11,22.4,13.2,8.7,438.2,338.78,99.42,339.29,2023-08-17,
14339,12,21.8,12.6,8.7,438.2,338.88,99.32,339.35,2023-08-17,
14340,13,23.3,12.6,8.7,438.73,338.79,99.94,339.32,2023-08-17,
14341,14,21.9,12.7,8.7,438.5,339.03,99.47,339.63,2023-08-17,
14342,15,33.1,23.9,8.7,438.42,340.59,97.83,340.56,2023-08-17,
14343,16,48.9,38.2,8.7,438.73,341.68,97.05,341.6,2023-08-17,
14344,17,47.4,38.3,8.6,438.5,341.59,96.91,341.58,2023-08-17,
14345,18,47.5,38.4,8.6,438.59,341.5,97.09,341.54,2023-08-17,
14346,19,47.6,38.5,8.6,438.58,341.48,97.1,341.47,2023-08-17,
14347,20,47.7,38.3,8.9,438.52,341.53,96.99,341.53,2023-08-17,
14348,21,34.9,25.5,8.9,438.73,340.12,98.61,340.34,2023-08-17,
14349,22,34.5,25.0,8.9,438.47,339.78,98.69,340.14,2023-08-17,
14350,23,22.3,12.9,8.9,438.85,338.62,100.23,339.12,2023-08-17,
14351,24,22.0,12.6,8.9,438.5,338.75,99.75,339.24,2023-08-17,
14352,,,,,,,,,2023-08-17,
14353,AVG,31.12,21.76,8.75,438.37,339.81,98.56,340.12,2023-08-17,
14354,,,,,,,,,2023-08-17,
14355,MAX,48.9,38.5,8.9,438.85,341.68,100.23,341.6,2023-08-17,
14356,MIN,21.8,12.6,8.6,437.91,338.51,96.91,339.0,2023-08-17,
14357,1,21.8,12.4,8.9,438.66,338.63,100.03,339.18,2023-08-18,
14358,2,21.9,12.5,8.9,438.7,338.83,99.87,339.38,2023-08-18,
14359,3,21.9,12.5,8.9,438.45,338.78,99.67,339.28,2023-08-18,
14360,4,21.9,12.5,8.9,438.67,338.79,99.88,339.38,2023-08-18,
14361,5,22.0,12.6,8.9,438.54,338.88,99.66,339.39,2023-08-18,
14362,6,21.9,12.5,8.8,438.51,338.95,99.56,339.43,2023-08-18,
14363,7,21.8,12.5,8.8,438.58,338.97,99.61,339.49,2023-08-18,
14364,8,21.8,12.5,8.8,438.45,338.9,99.55,339.39,2023-08-18,
14365,9,21.8,12.5,8.8,438.52,338.78,99.74,339.29,2023-08-18,
14366,10,21.8,12.5,8.8,438.5,338.88,99.62,339.45,2023-08-18,
14367,11,21.8,12.5,8.8,438.47,338.84,99.63,339.32,2023-08-18,
14368,12,21.8,12.5,8.8,438.48,338.75,99.73,339.21,2023-08-18,
14369,13,21.8,12.5,8.8,438.5,338.75,99.75,339.27,2023-08-18,
14370,14,21.8,12.5,8.8,438.5,338.73,99.77,339.18,2023-08-18,
14371,15,21.7,12.4,8.8,438.5,338.68,99.82,339.16,2023-08-18,
14372,16,23.2,12.4,8.8,438.48,339.19,99.29,339.67,2023-08-18,
14373,17,21.7,12.4,8.8,438.47,338.55,99.92,339.1,2023-08-18,
14374,18,21.7,12.4,8.8,438.67,338.52,100.15,339.05,2023-08-18,
14375,19,21.7,12.4,8.8,438.73,338.5,100.23,339.06,2023-08-18,
14376,20,23.2,12.3,8.8,438.92,338.71,100.21,339.26,2023-08-18,
14377,21,21.8,12.4,8.8,439.04,338.38,100.66,338.95,2023-08-18,
14378,22,21.8,12.4,8.8,439.09,338.39,100.7,338.88,2023-08-18,
14379,23,21.8,12.4,8.9,439.28,338.35,100.93,338.88,2023-08-18,
14380,24,21.8,12.4,8.9,438.97,338.32,100.65,338.81,2023-08-18,
14381,,,,,,,,,2023-08-18,
14382,AVG,21.93,12.45,8.83,438.65,338.71,99.94,339.23,2023-08-18,
14383,,,,,,,,,2023-08-18,
14384,MAX,23.2,12.6,8.9,439.28,339.19,100.93,339.67,2023-08-18,
14385,MIN,21.7,12.3,8.8,438.45,338.32,99.29,338.81,2023-08-18,
14386,1,21.8,12.4,8.8,439.14,338.45,100.69,338.94,2023-08-19,
14387,2,21.8,12.4,8.9,439.06,338.62,100.44,339.16,2023-08-19,
14388,3,21.9,12.5,8.8,439.02,338.71,100.31,339.19,2023-08-19,
14389,4,21.8,12.5,8.9,439.18,338.72,100.46,339.26,2023-08-19,
14390,5,21.8,12.5,8.8,438.91,338.84,100.07,339.38,2023-08-19,
14391,6,21.8,12.5,8.8,439.05,338.92,100.13,339.44,2023-08-19,
14392,7,23.2,12.5,8.7,438.94,339.05,99.89,339.62,2023-08-19,
14393,8,21.7,12.5,8.7,438.97,339.1,99.87,339.67,2023-08-19,
14394,9,21.7,12.5,8.7,439.13,339.04,100.09,339.59,2023-08-19,
14395,10,23.2,12.5,8.7,439.06,339.1,99.96,339.67,2023-08-19,
14396,11,21.7,12.4,8.7,439.09,339.2,99.89,339.72,2023-08-19,
14397,12,21.7,12.5,8.7,438.98,339.19,99.79,339.7,2023-08-19,
14398,13,21.7,12.5,8.7,438.99,339.21,99.78,339.74,2023-08-19,
14399,14,21.7,12.5,8.7,439.02,339.07,99.95,339.58,2023-08-19,
14400,15,21.7,12.5,8.7,438.87,339.07,99.8,339.61,2023-08-19,
14401,16,21.8,12.6,8.7,438.91,339.33,99.58,339.78,2023-08-19,
14402,17,35.6,24.9,8.7,438.81,340.34,98.47,340.54,2023-08-19,
14403,18,34.2,25.0,8.7,438.99,340.22,98.77,340.42,2023-08-19,
14404,19,35.8,25.0,8.7,438.89,340.3,98.59,340.5,2023-08-19,
14405,20,45.3,36.1,8.7,438.7,341.56,97.14,341.52,2023-08-19,
14406,21,47.7,38.5,8.7,438.97,341.54,97.43,341.58,2023-08-19,
14407,22,46.5,37.3,8.7,438.89,340.73,98.16,340.9,2023-08-19,
14408,23,34.5,25.3,8.7,439.07,339.8,99.27,340.14,2023-08-19,
14409,24,22.2,13.0,8.7,438.51,338.5,100.01,338.98,2023-08-19,
14410,,,,,,,,,2023-08-19,
14411,AVG,27.2,17.7,8.73,438.96,339.44,99.52,339.86,2023-08-19,
14412,,,,,,,,,2023-08-19,
14413,MAX,47.7,38.5,8.9,439.18,341.56,100.69,341.58,2023-08-19,
14414,MIN,21.7,12.4,8.7,438.51,338.45,97.14,338.94,2023-08-19,
14415,1,21.6,12.5,8.7,438.74,338.72,100.02,339.24,2023-08-20,
14416,2,23.1,12.4,8.7,438.75,338.71,100.04,339.37,2023-08-20,
14417,3,21.6,12.5,8.7,438.55,338.86,99.69,339.35,2023-08-20,
14418,4,21.7,12.5,8.7,438.73,338.84,99.89,339.37,2023-08-20,
14419,5,21.7,12.5,8.7,438.62,338.88,99.74,339.44,2023-08-20,
14420,6,21.7,12.5,8.7,438.69,338.98,99.71,339.5,2023-08-20,
14421,7,21.7,12.5,8.7,438.65,339.07,99.58,339.59,2023-08-20,
14422,8,21.7,12.5,8.7,438.65,339.11,99.54,339.67,2023-08-20,
14423,9,21.7,12.5,8.7,438.7,339.01,99.69,339.52,2023-08-20,
14424,10,21.6,12.4,8.7,438.67,339.02,99.65,339.56,2023-08-20,
14425,11,21.7,12.5,8.7,438.64,339.05,99.59,339.56,2023-08-20,
14426,12,21.7,12.5,8.7,438.69,339.0,99.69,339.55,2023-08-20,
14427,13,21.7,12.5,8.7,438.67,339.02,99.65,339.56,2023-08-20,
14428,14,21.6,12.5,8.7,438.63,338.89,99.74,339.42,2023-08-20,
14429,15,21.7,12.5,8.7,438.63,338.9,99.73,339.39,2023-08-20,
14430,16,21.7,12.5,8.7,438.62,338.82,99.8,339.36,2023-08-20,
14431,17,21.8,12.6,8.7,438.6,338.8,99.8,339.3,2023-08-20,
14432,18,21.8,12.6,8.7,438.58,338.76,99.82,339.28,2023-08-20,
14433,19,21.7,12.6,8.7,438.59,338.72,99.87,339.24,2023-08-20,
14434,20,21.7,12.6,8.7,438.54,338.69,99.85,339.17,2023-08-20,
14435,21,21.7,12.6,8.7,438.55,338.62,99.93,339.16,2023-08-20,
14436,22,21.7,12.5,8.7,438.51,338.62,99.89,339.14,2023-08-20,
14437,23,22.0,12.9,8.7,438.51,338.69,99.82,339.16,2023-08-20,
14438,24,22.0,12.9,8.7,438.49,338.79,99.7,339.28,2023-08-20,
14439,,,,,,,,,2023-08-20,
14440,AVG,21.77,12.55,8.7,438.62,338.86,99.77,339.38,2023-08-20,
14441,,,,,,,,,2023-08-20,
14442,MAX,23.1,12.9,8.7,438.75,339.11,100.04,339.67,2023-08-20,
14443,MIN,21.6,12.4,8.7,438.49,338.62,99.54,339.14,2023-08-20,
14444,1,22.1,12.9,8.7,438.56,338.91,99.65,339.37,2023-08-21,
14445,2,22.0,12.8,8.7,438.44,339.56,98.88,339.82,2023-08-21,
14446,3,22.0,12.8,8.7,438.52,339.14,99.38,339.58,2023-08-21,
14447,4,22.0,12.8,8.7,438.38,339.15,99.23,339.65,2023-08-21,
14448,5,22.1,12.9,8.7,438.43,339.3,99.13,339.76,2023-08-21,
14449,6,22.1,12.9,8.7,438.44,339.37,99.07,339.84,2023-08-21,
14450,7,22.0,12.9,8.7,438.39,339.47,98.92,339.91,2023-08-21,
14451,8,22.0,12.8,8.7,438.53,339.55,98.98,340.03,2023-08-21,
14452,9,22.0,12.9,8.7,438.46,339.63,98.83,340.12,2023-08-21,
14453,10,22.0,12.8,8.7,438.47,339.71,98.76,340.17,2023-08-21,
14454,11,23.5,12.8,8.7,438.5,339.81,98.69,340.24,2023-08-21,
14455,12,22.1,12.9,8.7,438.52,339.73,98.79,340.18,2023-08-21,
14456,13,22.0,12.9,8.7,438.64,339.78,98.86,340.26,2023-08-21,
14457,14,21.9,12.8,8.7,438.6,339.73,98.87,340.22,2023-08-21,
14458,15,21.8,12.7,8.7,438.66,339.58,99.08,340.15,2023-08-21,
14459,16,21.7,12.5,8.7,438.68,339.6,99.08,340.13,2023-08-21,
14460,17,21.8,12.6,8.7,438.72,339.58,99.14,340.11,2023-08-21,
14461,18,21.8,12.6,8.7,438.77,339.53,99.24,340.05,2023-08-21,
14462,19,21.7,12.6,8.7,438.79,339.48,99.31,340.0,2023-08-21,
14463,20,21.7,12.5,8.7,438.83,339.44,99.39,339.95,2023-08-21,
14464,21,21.8,12.6,8.7,438.86,339.42,99.44,339.9,2023-08-21,
14465,22,21.7,12.5,8.7,438.82,339.32,99.5,339.86,2023-08-21,
14466,23,21.8,12.6,8.7,438.92,339.24,99.68,339.76,2023-08-21,
14467,24,21.8,12.6,8.7,438.84,339.24,99.6,339.76,2023-08-21,
14468,,,,,,,,,2023-08-21,
14469,AVG,21.97,12.74,8.7,438.62,339.47,99.15,339.95,2023-08-21,
14470,,,,,,,,,2023-08-21,
14471,MAX,23.5,12.9,8.7,438.92,339.81,99.68,340.26,2023-08-21,
14472,MIN,21.7,12.5,8.7,438.38,338.91,98.69,339.37,2023-08-21,
14473,1,21.8,12.6,8.7,438.86,339.3,99.56,339.79,2023-08-22,
14474,2,21.7,12.6,8.7,438.86,339.4,99.46,339.89,2023-08-22,
14475,3,23.2,12.5,8.7,438.76,339.32,99.44,340.01,2023-08-22,
14476,4,21.8,12.6,8.7,438.78,339.46,99.32,339.95,2023-08-22,
14477,5,21.8,12.6,8.7,438.73,339.54,99.19,340.06,2023-08-22,
14478,6,21.8,12.6,8.7,438.78,339.61,99.17,340.11,2023-08-22,
14479,7,21.8,12.6,8.7,438.77,339.64,99.13,340.18,2023-08-22,
14480,8,21.8,12.6,8.7,438.72,339.54,99.18,340.06,2023-08-22,
14481,9,21.7,12.6,8.7,438.74,339.67,99.07,340.12,2023-08-22,
14482,10,23.3,12.6,8.7,438.71,339.74,98.97,340.18,2023-08-22,
14483,11,21.8,12.6,8.7,438.82,339.65,99.17,340.13,2023-08-22,
14484,12,21.8,12.6,8.7,438.76,339.71,99.05,340.19,2023-08-22,
14485,13,21.9,12.7,8.7,438.72,339.8,98.92,340.36,2023-08-22,
14486,14,22.6,13.4,8.7,438.7,339.66,99.04,340.18,2023-08-22,
14487,15,22.1,12.9,8.7,438.66,339.83,98.83,340.3,2023-08-22,
14488,16,21.8,12.6,8.7,438.68,339.59,99.09,340.09,2023-08-22,
14489,17,21.8,12.7,8.7,438.71,339.66,99.05,340.16,2023-08-22,
14490,18,21.8,12.6,8.7,438.75,339.44,99.31,339.98,2023-08-22,
14491,19,21.8,12.6,8.7,438.81,339.42,99.39,339.92,2023-08-22,
14492,20,21.7,12.5,8.7,438.81,339.28,99.53,339.81,2023-08-22,
14493,21,23.1,12.4,8.7,438.92,339.24,99.68,339.78,2023-08-22,
14494,22,21.7,12.5,8.7,438.94,339.1,99.84,339.62,2023-08-22,
14495,23,21.5,12.3,8.7,438.92,339.0,99.92,339.51,2023-08-22,
14496,24,21.5,12.3,8.7,438.88,338.96,99.92,339.46,2023-08-22,
14497,,,,,,,,,2023-08-22,
14498,AVG,21.98,12.61,8.7,438.78,339.48,99.3,339.99,2023-08-22,
14499,,,,,,,,,2023-08-22,
14500,MAX,23.3,13.4,8.7,438.94,339.83,99.92,340.36,2023-08-22,
14501,MIN,21.5,12.3,8.7,438.66,338.96,98.83,339.46,2023-08-22,
14502,1,21.6,12.4,8.7,438.9,339.01,99.89,339.53,2023-08-23,
14503,2,21.6,12.4,8.7,438.91,339.03,99.88,339.55,2023-08-23,
14504,3,21.7,12.5,8.7,438.9,339.02,99.88,339.52,2023-08-23,
14505,4,21.7,12.5,8.7,438.92,339.04,99.88,339.53,2023-08-23,
14506,5,21.8,12.6,8.7,438.91,339.1,99.81,339.61,2023-08-23,
14507,6,21.7,12.5,8.7,438.93,339.08,99.85,339.63,2023-08-23,
14508,7,21.7,12.5,8.7,438.92,339.11,99.81,339.64,2023-08-23,
14509,8,21.7,12.5,8.7,438.9,339.19,99.71,339.68,2023-08-23,
14510,9,21.8,12.6,8.7,438.91,339.21,99.7,339.7,2023-08-23,
14511,10,23.3,12.6,8.7,438.97,339.3,99.67,339.79,2023-08-23,
14512,11,22.2,13.0,8.7,438.96,339.59,99.37,340.01,2023-08-23,
14513,12,21.8,12.6,8.7,438.93,339.38,99.55,339.85,2023-08-23,
14514,13,22.5,13.3,8.7,438.87,339.66,99.21,340.08,2023-08-23,
14515,14,25.8,16.6,8.7,438.9,339.77,99.13,340.06,2023-08-23,
14516,15,,,8.7,438.81,339.54,99.27,339.96,2023-08-23,
14517,16,26.7,17.5,8.7,438.73,339.7,99.03,340.1,2023-08-23,
14518,17,23.9,14.7,8.7,438.82,339.02,99.8,339.55,2023-08-23,
14519,18,21.8,12.6,8.7,438.8,338.99,99.81,339.47,2023-08-23,
14520,19,21.8,12.6,8.7,438.75,338.88,99.87,339.42,2023-08-23,
14521,20,21.6,12.4,8.7,438.77,338.79,99.98,339.28,2023-08-23,
14522,21,21.6,12.4,8.7,438.76,338.64,100.12,339.19,2023-08-23,
14523,22,21.6,12.4,8.7,438.82,338.57,100.25,339.12,2023-08-23,
14524,23,21.6,12.4,8.7,438.75,338.49,100.26,338.99,2023-08-23,
14525,24,21.7,12.5,8.7,438.76,338.42,100.34,338.95,2023-08-23,
14526,,,,,,,,,2023-08-23,
14527,AVG,22.31,13.05,8.7,438.86,339.11,99.75,339.59,2023-08-23,
14528,,,,,,,,,2023-08-23,
14529,MAX,26.7,17.5,8.7,438.97,339.77,100.34,340.1,2023-08-23,
14530,MIN,21.6,12.4,8.7,438.73,338.42,99.03,338.95,2023-08-23,
14531,1,21.8,12.6,8.7,438.76,338.47,100.29,339.01,2023-08-24,
14532,2,21.7,12.5,8.7,438.73,338.49,100.24,339.02,2023-08-24,
14533,3,21.6,12.4,8.7,438.76,338.66,100.1,339.14,2023-08-24,
14534,4,23.1,12.4,8.7,438.74,338.75,99.99,339.3,2023-08-24,
14535,5,21.6,12.4,8.7,438.72,338.72,100.0,339.26,2023-08-24,
14536,6,21.6,12.4,8.7,438.73,338.85,99.88,339.38,2023-08-24,
14537,7,21.8,12.6,8.7,438.73,339.02,99.71,339.48,2023-08-24,
14538,8,23.6,14.4,8.7,438.76,339.73,99.03,340.14,2023-08-24,
14539,9,33.9,24.7,8.7,438.8,340.06,98.74,340.46,2023-08-24,
14540,10,27.6,18.4,8.7,438.75,339.37,99.38,339.84,2023-08-24,
14541,11,26.4,17.2,8.7,438.63,339.46,99.17,339.96,2023-08-24,
14542,12,28.5,19.3,8.7,438.59,339.94,98.65,340.32,2023-08-24,
14543,13,29.9,20.7,8.7,438.63,339.42,99.21,339.81,2023-08-24,
14544,14,30.0,20.8,8.7,438.51,339.52,98.99,340.0,2023-08-24,
14545,15,31.6,22.4,8.7,438.39,340.04,98.35,340.54,2023-08-24,
14546,16,42.7,33.6,8.7,438.22,340.9,97.32,341.1,2023-08-24,
14547,17,35.0,25.8,8.6,438.26,339.99,98.27,340.4,2023-08-24,
14548,18,33.2,24.1,8.6,438.27,340.25,98.02,340.6,2023-08-24,
14549,19,47.5,38.3,8.6,438.27,342.16,96.11,342.06,2023-08-24,
14550,20,48.1,38.9,8.6,438.16,341.52,96.64,341.53,2023-08-24,
14551,21,47.7,38.6,8.6,438.18,341.48,96.7,341.45,2023-08-24,
14552,22,47.3,38.1,8.6,438.26,340.95,97.31,341.15,2023-08-24,
14553,23,35.4,26.3,8.7,438.37,339.47,98.9,339.99,2023-08-24,
14554,24,22.3,13.1,8.6,438.31,338.55,99.76,338.97,2023-08-24,
14555,,,,,,,,,2023-08-24,
14556,AVG,31.0,21.75,8.67,438.52,339.74,98.78,340.12,2023-08-24,
14557,,,,,,,,,2023-08-24,
14558,MAX,48.1,38.9,8.7,438.8,342.16,100.29,342.06,2023-08-24,
14559,MIN,21.6,12.4,8.6,438.16,338.47,96.11,338.97,2023-08-24,
14560,1,22.2,13.0,8.6,438.17,338.58,99.59,339.05,2023-08-25,
14561,2,22.1,13.0,8.6,438.28,338.69,99.59,339.18,2023-08-25,
14562,3,22.1,13.0,8.6,438.04,338.8,99.24,339.28,2023-08-25,
14563,4,22.1,13.0,8.6,438.25,338.78,99.47,339.17,2023-08-25,
14564,5,23.7,13.1,8.6,438.21,338.68,99.53,339.22,2023-08-25,
