,Hour,Total Outflow kcfs,Generation Flow kcfs,Spill kcfs,PH 1 Forebay Elevation,Tailwater Elevation,Average Head,Project Forebay Elevation,Stevenson Gage Elevation,Project Tailwater Elevation,Date
19318,4,140.2,136.7,0.0,73.9,14.5,59.4,73.9,74.6,14.6,2024-02-02
19319,5,141.1,137.6,0.0,73.7,14.6,59.1,73.7,74.5,14.6,2024-02-02
19320,6,142.7,139.2,0.0,73.6,14.6,59.0,73.6,74.4,14.6,2024-02-02
19321,7,158.6,154.5,0.6,73.4,15.2,58.2,73.3,74.2,15.2,2024-02-02
19322,8,168.4,163.7,1.2,73.3,15.6,57.7,73.3,74.1,15.5,2024-02-02
19323,9,167.2,162.5,1.2,73.6,15.5,58.1,73.5,74.2,15.5,2024-02-02
19324,10,164.5,159.8,1.2,73.6,15.4,58.2,73.6,74.3,15.5,2024-02-02
19325,11,157.5,152.8,1.2,73.7,15.2,58.5,73.7,74.4,15.3,2024-02-02
19326,12,155.2,150.5,1.2,73.8,15.2,58.6,73.8,74.5,15.2,2024-02-02
19327,13,152.3,147.6,1.2,73.9,15.2,58.7,73.9,74.6,15.2,2024-02-02
19328,14,153.6,148.9,1.2,74.0,15.2,58.8,74.0,74.7,15.3,2024-02-02
19329,15,153.1,148.4,1.2,74.1,15.2,58.9,74.1,74.8,15.2,2024-02-02
19330,16,154.4,149.7,1.2,74.2,15.2,59.0,74.2,74.8,15.3,2024-02-02
19331,17,161.2,156.5,1.2,74.2,15.4,58.8,74.2,74.9,15.5,2024-02-02
19332,18,159.2,154.5,1.2,74.4,15.3,59.1,74.4,75.0,15.3,2024-02-02
19333,19,152.8,149.3,0.0,74.5,15.0,59.5,74.5,75.2,15.1,2024-02-02
19334,20,152.9,149.4,0.0,74.5,15.0,59.5,74.4,75.1,15.1,2024-02-02
19335,21,154.1,150.6,0.0,74.5,15.0,59.5,74.5,75.2,15.0,2024-02-02
19336,22,152.6,149.1,0.0,75.0,14.4,60.6,74.9,75.2,14.4,2024-02-02
19337,23,135.3,131.8,0.0,74.9,14.0,60.9,74.9,75.5,14.0,2024-02-02
19338,24,132.8,129.3,0.0,75.0,13.9,61.1,74.9,75.5,13.9,2024-02-02
19339,,,,,,,,,,,2024-02-02
19340,AVG,151.31,147.23,0.57,74.08,14.94,59.15,74.06,74.74,14.98,2024-02-02
19341,,,,,,,,,,,2024-02-02
19342,MAX,168.4,163.7,1.2,75.0,15.6,61.1,74.9,75.5,15.5,2024-02-02
19343,MIN,132.8,129.3,0.0,73.3,13.9,57.7,73.3,74.1,13.9,2024-02-02
19344,1,133.0,129.5,0.0,74.8,13.9,60.9,74.8,75.3,13.9,2024-02-03
19345,2,133.4,129.9,0.0,74.8,13.8,61.0,74.7,75.3,13.9,2024-02-03
19346,3,133.2,129.7,0.0,74.8,13.8,61.0,74.7,75.3,13.8,2024-02-03
19347,4,133.7,130.2,0.0,74.7,13.7,61.0,74.6,75.3,13.9,2024-02-03
19348,5,139.0,135.5,0.0,74.6,14.0,60.6,74.6,75.2,13.9,2024-02-03
19349,6,137.9,134.4,0.0,74.2,14.2,60.0,74.2,75.1,14.2,2024-02-03
19350,7,156.8,152.7,0.6,74.1,14.8,59.3,74.1,74.9,14.8,2024-02-03
19351,8,159.4,154.8,1.1,74.2,14.8,59.4,74.2,74.9,14.8,2024-02-03
19352,9,159.2,154.5,1.2,74.4,14.8,59.6,74.4,75.1,14.9,2024-02-03
19353,10,159.1,154.4,1.2,74.5,14.8,59.7,74.5,75.2,14.8,2024-02-03
19354,11,158.9,154.2,1.2,74.5,14.9,59.6,74.5,75.2,14.9,2024-02-03
19355,12,159.7,155.0,1.2,74.7,14.9,59.8,74.6,75.3,14.9,2024-02-03
19356,13,159.5,154.8,1.2,74.7,15.0,59.7,74.6,75.4,15.1,2024-02-03
19357,14,160.3,155.6,1.2,74.5,15.2,59.3,74.5,75.3,15.2,2024-02-03
19358,15,160.6,155.9,1.2,74.6,15.2,59.4,74.6,75.3,15.2,2024-02-03
19359,16,162.8,158.2,1.1,74.7,15.3,59.4,74.7,75.3,15.3,2024-02-03
19360,17,161.7,157.0,1.1,74.6,15.3,59.3,74.6,75.4,15.2,2024-02-03
19361,18,160.8,156.1,1.2,74.8,15.1,59.7,74.8,75.4,15.2,2024-02-03
19362,19,159.6,156.1,0.0,74.7,15.0,59.7,74.7,75.5,15.1,2024-02-03
19363,20,159.3,155.8,0.0,74.9,15.0,59.9,74.9,75.6,15.1,2024-02-03
19364,21,159.4,155.9,0.0,75.1,15.0,60.1,75.0,75.7,15.0,2024-02-03
19365,22,158.5,155.0,0.0,75.3,14.8,60.5,75.2,75.8,14.9,2024-02-03
19366,23,143.8,140.3,0.0,75.5,14.1,61.4,75.4,76.0,14.1,2024-02-03
19367,24,134.6,131.1,0.0,75.4,13.6,61.8,75.4,75.9,13.8,2024-02-03
19368,,,,,,,,,,,2024-02-03
19369,AVG,151.84,147.78,0.56,74.71,14.63,60.09,74.68,75.36,14.66,2024-02-03
19370,,,,,,,,,,,2024-02-03
19371,MAX,162.8,158.2,1.2,75.5,15.3,61.8,75.4,76.0,15.3,2024-02-03
19372,MIN,133.0,129.5,0.0,74.1,13.6,59.3,74.1,74.9,13.8,2024-02-03
19373,1,134.5,131.0,0.0,75.3,13.6,61.7,75.3,75.8,13.7,2024-02-04
19374,2,134.2,130.7,0.0,75.1,13.6,61.5,75.1,75.6,13.7,2024-02-04
19375,3,134.4,130.9,0.0,75.2,13.5,61.7,75.1,75.6,13.5,2024-02-04
19376,4,134.3,130.8,0.0,75.0,13.4,61.6,74.9,75.5,13.5,2024-02-04
19377,5,135.2,131.7,0.0,74.9,13.4,61.5,74.8,75.4,13.4,2024-02-04
19378,6,134.6,131.1,0.0,74.8,13.4,61.4,74.7,75.3,13.3,2024-02-04
19379,7,135.5,131.3,0.7,74.7,13.4,61.3,74.6,75.2,13.3,2024-02-04
19380,8,135.9,131.3,1.1,74.6,13.4,61.2,74.5,75.2,13.3,2024-02-04
19381,9,151.8,147.2,1.1,74.6,14.0,60.6,74.6,75.2,14.0,2024-02-04
19382,10,152.5,147.9,1.1,74.7,14.0,60.7,74.6,75.3,14.0,2024-02-04
19383,11,153.0,148.4,1.1,74.7,14.0,60.7,74.6,75.3,14.0,2024-02-04
19384,12,153.1,148.5,1.1,74.7,14.1,60.6,74.6,75.3,14.1,2024-02-04
19385,13,153.6,149.0,1.1,74.6,14.3,60.3,74.6,75.2,14.2,2024-02-04
19386,14,154.4,149.8,1.1,74.5,14.3,60.2,74.5,75.2,14.3,2024-02-04
19387,15,154.7,150.0,1.2,74.5,14.4,60.1,74.4,75.1,14.4,2024-02-04
19388,16,155.7,151.1,1.1,74.4,14.5,59.9,74.4,75.0,14.4,2024-02-04
19389,17,155.1,150.5,1.1,74.4,14.4,60.0,74.3,75.0,14.5,2024-02-04
19390,18,153.6,149.0,1.1,74.4,14.4,60.0,74.4,75.0,14.4,2024-02-04
19391,19,153.4,149.9,0.0,74.8,14.4,60.4,74.7,75.3,14.3,2024-02-04
19392,20,153.5,150.0,0.0,74.9,14.3,60.6,74.8,75.4,14.3,2024-02-04
19393,21,152.7,149.2,0.0,74.9,14.2,60.7,74.9,75.5,14.3,2024-02-04
19394,22,145.5,142.0,0.0,75.3,13.8,61.5,75.2,75.7,13.7,2024-02-04
19395,23,143.7,140.2,0.0,75.3,13.7,61.6,75.2,75.7,13.6,2024-02-04
19396,24,143.4,139.9,0.0,75.2,13.5,61.7,75.2,75.7,13.6,2024-02-04
19397,,,,,,,,,,,2024-02-04
19398,AVG,146.18,142.14,0.54,74.81,13.92,60.9,74.75,75.35,13.91,2024-02-04
19399,,,,,,,,,,,2024-02-04
19400,MAX,155.7,151.1,1.2,75.3,14.5,61.7,75.3,75.8,14.5,2024-02-04
19401,MIN,134.2,130.7,0.0,74.4,13.4,59.9,74.3,75.0,13.3,2024-02-04
19402,1,143.7,140.2,0.0,75.1,13.5,61.6,75.1,75.7,13.6,2024-02-05
19403,2,143.1,139.6,0.0,75.0,13.4,61.6,75.0,75.6,13.5,2024-02-05
19404,3,143.0,139.5,0.0,74.9,13.5,61.4,74.9,75.5,13.5,2024-02-05
19405,4,144.0,140.5,0.0,74.9,13.5,61.4,74.9,75.4,13.5,2024-02-05
19406,5,144.9,141.4,0.0,74.6,13.6,61.0,74.6,75.2,13.6,2024-02-05
19407,6,145.3,141.8,0.0,74.4,13.6,60.8,74.4,75.1,13.6,2024-02-05
19408,7,145.8,141.6,0.7,74.3,13.6,60.7,74.3,75.0,13.7,2024-02-05
19409,8,145.8,141.1,1.2,74.7,13.6,61.1,74.6,75.1,13.6,2024-02-05
19410,9,145.7,141.0,1.2,74.5,13.6,60.9,74.5,75.2,13.6,2024-02-05
19411,10,145.0,140.3,1.2,74.5,13.6,60.9,74.5,75.2,13.6,2024-02-05
19412,11,145.0,140.3,1.2,74.5,13.5,61.0,74.5,75.2,13.6,2024-02-05
19413,12,144.8,140.1,1.2,74.6,13.6,61.0,74.6,75.2,13.6,2024-02-05
19414,13,145.3,140.6,1.2,74.5,13.7,60.8,74.5,75.1,13.7,2024-02-05
19415,14,146.4,141.7,1.2,74.4,13.8,60.6,74.4,75.1,13.9,2024-02-05
19416,15,146.0,141.3,1.2,74.3,14.0,60.3,74.3,75.0,14.1,2024-02-05
19417,16,147.7,143.0,1.2,74.4,14.2,60.2,74.4,75.0,14.3,2024-02-05
19418,17,158.8,154.1,1.2,74.2,14.6,59.6,74.1,75.0,14.6,2024-02-05
19419,18,155.9,151.2,1.2,74.4,14.6,59.8,74.4,75.0,14.6,2024-02-05
19420,19,154.3,150.8,0.0,74.5,14.6,59.9,74.5,75.1,14.6,2024-02-05
19421,20,153.5,150.0,0.0,74.6,14.5,60.1,74.6,75.2,14.5,2024-02-05
19422,21,140.7,137.2,0.0,74.8,13.8,61.0,74.8,75.4,13.9,2024-02-05
19423,22,131.4,127.9,0.0,75.2,13.3,61.9,75.1,75.6,13.4,2024-02-05
19424,23,130.5,127.0,0.0,75.2,13.2,62.0,75.2,75.6,13.3,2024-02-05
19425,24,129.5,126.0,0.0,75.1,13.0,62.1,75.1,75.6,13.0,2024-02-05
19426,,,,,,,,,,,2024-02-05
19427,AVG,144.84,140.76,0.58,74.65,13.75,60.9,74.64,75.25,13.79,2024-02-05
19428,,,,,,,,,,,2024-02-05
19429,MAX,158.8,154.1,1.2,75.2,14.6,62.1,75.2,75.7,14.6,2024-02-05
19430,MIN,129.5,126.0,0.0,74.2,13.0,59.6,74.1,75.0,13.0,2024-02-05
19431,1,128.2,124.7,0.0,75.2,12.8,62.4,75.1,75.7,12.9,2024-02-06
19432,2,125.3,121.8,0.0,75.1,12.5,62.6,75.0,75.6,12.7,2024-02-06
19433,3,124.3,120.8,0.0,74.9,12.5,62.4,74.8,75.4,12.7,2024-02-06
19434,4,124.9,121.4,0.0,74.7,12.5,62.2,74.6,75.2,12.6,2024-02-06
19435,5,126.1,122.6,0.0,74.6,12.5,62.1,74.6,75.2,12.7,2024-02-06
19436,6,125.2,121.7,0.0,74.5,12.5,62.0,74.5,75.1,12.6,2024-02-06
19437,7,130.6,126.5,0.6,74.4,12.9,61.5,74.4,75.0,13.0,2024-02-06
19438,8,135.3,130.7,1.1,74.9,12.2,62.7,74.8,75.3,12.4,2024-02-06
19439,9,121.4,116.7,1.2,75.0,12.2,62.8,74.9,75.3,12.4,2024-02-06
19440,10,119.7,115.0,1.2,74.7,12.1,62.6,74.7,75.3,12.3,2024-02-06
19441,11,118.7,114.1,1.1,74.7,12.0,62.7,74.6,75.2,12.1,2024-02-06
19442,12,119.1,114.5,1.1,74.8,12.0,62.8,74.8,75.3,12.2,2024-02-06
19443,13,119.0,114.4,1.1,74.8,12.1,62.7,74.7,75.2,12.1,2024-02-06
19444,14,118.9,114.2,1.2,74.7,12.2,62.5,74.6,75.1,12.3,2024-02-06
19445,15,119.7,115.0,1.2,74.6,12.2,62.4,74.5,75.1,12.5,2024-02-06
19446,16,119.8,115.1,1.2,74.6,12.2,62.4,74.5,75.1,12.5,2024-02-06
19447,17,119.7,115.0,1.2,74.7,12.4,62.3,74.7,75.1,12.6,2024-02-06
19448,18,120.1,115.4,1.2,74.7,12.4,62.3,74.7,75.1,12.6,2024-02-06
19449,19,119.0,115.4,0.1,74.8,12.3,62.5,74.7,75.2,12.5,2024-02-06
19450,20,120.1,116.6,0.0,74.7,12.3,62.4,74.7,75.2,12.5,2024-02-06
19451,21,118.7,115.2,0.0,74.7,12.6,62.1,74.7,75.3,12.4,2024-02-06
19452,22,119.2,115.7,0.0,74.8,12.1,62.7,74.8,75.3,12.3,2024-02-06
19453,23,115.8,112.3,0.0,75.0,11.8,63.2,74.9,75.4,12.1,2024-02-06
19454,24,115.3,111.8,0.0,74.8,11.7,63.1,74.8,75.3,11.9,2024-02-06
19455,,,,,,,,,,,2024-02-06
19456,AVG,121.84,117.77,0.56,74.77,12.29,62.48,74.71,75.25,12.45,2024-02-06
19457,,,,,,,,,,,2024-02-06
19458,MAX,135.3,130.7,1.2,75.2,12.9,63.2,75.1,75.7,13.0,2024-02-06
19459,MIN,115.3,111.8,0.0,74.4,11.7,61.5,74.4,75.0,11.9,2024-02-06
19460,1,115.8,112.3,0.0,74.6,11.7,62.9,74.5,75.1,11.8,2024-02-07
19461,2,115.4,111.9,0.0,74.6,11.5,63.1,74.4,75.0,11.7,2024-02-07
19462,3,115.7,112.2,0.0,74.6,11.4,63.2,74.5,75.0,11.6,2024-02-07
19463,4,115.6,112.1,0.0,74.5,11.4,63.1,74.4,74.9,11.6,2024-02-07
19464,5,116.2,112.7,0.0,74.3,11.5,62.8,74.2,74.9,11.7,2024-02-07
19465,6,119.3,115.8,0.0,74.0,12.1,61.9,74.0,74.7,12.2,2024-02-07
19466,7,130.1,126.0,0.6,74.3,12.5,61.8,74.2,74.7,12.6,2024-02-07
19467,8,131.2,126.5,1.2,74.2,12.5,61.7,74.2,74.7,12.6,2024-02-07
19468,9,130.4,125.7,1.2,74.7,12.5,62.2,74.6,75.2,12.6,2024-02-07
19469,10,130.7,126.0,1.2,74.7,12.4,62.3,74.7,75.2,12.6,2024-02-07
19470,11,130.2,125.5,1.2,74.5,12.4,62.1,74.6,75.2,12.6,2024-02-07
19471,12,130.3,125.6,1.2,74.6,12.4,62.2,74.5,75.1,12.6,2024-02-07
19472,13,131.0,126.3,1.2,74.6,12.5,62.1,74.6,75.1,12.6,2024-02-07
19473,14,129.0,124.3,1.2,74.4,12.6,61.8,74.4,75.0,12.8,2024-02-07
19474,15,129.1,124.4,1.2,74.4,12.7,61.7,74.4,75.0,12.8,2024-02-07
19475,16,132.3,127.6,1.2,74.4,13.2,61.2,74.3,75.0,13.2,2024-02-07
19476,17,136.2,131.5,1.2,74.3,13.6,60.7,74.3,74.9,13.7,2024-02-07
19477,18,136.3,131.6,1.2,74.3,13.7,60.6,74.2,74.9,13.7,2024-02-07
19478,19,137.1,132.7,0.9,74.6,13.7,60.9,74.6,75.1,13.7,2024-02-07
19479,20,135.1,131.6,0.0,74.6,13.6,61.0,74.6,75.2,13.7,2024-02-07
19480,21,134.4,130.9,0.0,74.7,13.5,61.2,74.6,75.2,13.6,2024-02-07
19481,22,134.3,130.8,0.0,74.8,13.4,61.4,74.8,75.3,13.6,2024-02-07
19482,23,127.1,123.6,0.0,75.1,12.9,62.2,75.0,75.4,13.0,2024-02-07
19483,24,118.9,115.4,0.0,75.1,12.4,62.7,75.1,75.5,12.6,2024-02-07
19484,,,,,,,,,,,2024-02-07
19485,AVG,127.57,123.46,0.61,74.54,12.59,61.95,74.49,75.05,12.72,2024-02-07
19486,,,,,,,,,,,2024-02-07
19487,MAX,137.1,132.7,1.2,75.1,13.7,63.2,75.1,75.5,13.7,2024-02-07
19488,MIN,115.4,111.9,0.0,74.0,11.4,60.6,74.0,74.7,11.6,2024-02-07
19489,1,118.6,115.1,0.0,74.9,12.2,62.7,74.8,75.4,12.5,2024-02-08
19490,2,118.0,114.5,0.0,74.7,12.1,62.6,74.7,75.2,12.3,2024-02-08
19491,3,118.2,114.7,0.0,74.7,12.0,62.7,74.6,75.1,12.2,2024-02-08
19492,4,118.8,115.3,0.0,74.6,11.9,62.7,74.6,75.1,12.0,2024-02-08
19493,5,117.9,114.4,0.0,74.5,11.8,62.7,74.4,75.0,12.0,2024-02-08
19494,6,119.2,115.7,0.0,74.4,12.2,62.2,74.4,75.0,12.4,2024-02-08
19495,7,135.6,131.5,0.6,74.4,13.0,61.4,74.4,74.9,13.0,2024-02-08
19496,8,137.9,133.2,1.2,74.6,13.2,61.4,74.6,75.1,13.2,2024-02-08
19497,9,137.5,132.8,1.2,74.6,13.2,61.4,74.6,75.2,13.3,2024-02-08
19498,10,138.9,134.2,1.2,74.7,13.3,61.4,74.7,75.3,13.3,2024-02-08
19499,11,137.7,133.0,1.2,75.1,12.9,62.2,75.0,75.3,13.0,2024-02-08
19500,12,120.4,115.7,1.2,75.2,12.2,63.0,75.1,75.63,12.4,2024-02-08
19501,13,119.2,114.5,1.2,75.0,12.1,62.9,74.9,75.5,12.3,2024-02-08
19502,14,118.8,114.1,1.2,75.0,12.0,63.0,75.0,75.5,12.2,2024-02-08
19503,15,120.1,115.4,1.2,75.1,12.0,63.1,75.1,75.6,12.2,2024-02-08
19504,16,129.4,124.7,1.2,75.1,12.5,62.6,75.1,75.6,12.8,2024-02-08
19505,17,131.7,127.0,1.2,75.1,12.9,62.2,75.1,75.6,13.1,2024-02-08
19506,18,139.7,135.0,1.2,75.0,13.7,61.3,75.0,75.6,13.8,2024-02-08
19507,19,140.8,137.3,0.0,75.2,13.9,61.3,75.2,75.7,14.1,2024-02-08
19508,20,140.0,136.5,0.0,75.3,13.9,61.4,75.2,75.8,14.0,2024-02-08
19509,21,141.8,138.3,0.0,75.4,13.9,61.5,75.3,75.9,14.0,2024-02-08
19510,22,140.2,136.7,0.0,75.3,13.8,61.5,75.3,75.9,13.9,2024-02-08
19511,23,139.9,136.4,0.0,75.4,13.6,61.8,75.4,76.0,13.7,2024-02-08
19512,24,138.9,135.4,0.0,75.5,13.5,62.0,75.4,76.0,13.6,2024-02-08
19513,,,,,,,,,,,2024-02-08
19514,AVG,129.97,125.89,0.57,74.95,12.83,62.12,74.91,75.46,12.97,2024-02-08
19515,,,,,,,,,,,2024-02-08
19516,MAX,141.8,138.3,1.2,75.5,13.9,63.1,75.4,76.0,14.1,2024-02-08
19517,MIN,117.9,114.1,0.0,74.4,11.8,61.3,74.4,74.9,12.0,2024-02-08
19518,1,130.6,127.1,0.0,75.4,12.9,62.5,75.3,75.9,13.2,2024-02-09
19519,2,129.1,125.6,0.0,75.2,12.8,62.4,75.2,75.7,12.9,2024-02-09
19520,3,121.1,117.6,0.0,75.3,12.3,63.0,75.2,75.7,12.6,2024-02-09
19521,4,120.2,116.7,0.0,75.2,12.1,63.1,75.2,75.7,12.3,2024-02-09
19522,5,119.8,116.3,0.0,75.1,12.0,63.1,75.1,75.6,12.2,2024-02-09
19523,6,119.4,115.9,0.0,75.0,12.0,63.0,75.0,75.5,12.2,2024-02-09
19524,7,120.9,116.8,0.6,75.0,12.1,62.9,74.9,75.4,12.3,2024-02-09
19525,8,128.5,123.8,1.2,74.9,12.6,62.3,74.8,75.4,12.7,2024-02-09
19526,9,129.2,124.5,1.2,75.1,12.6,62.5,75.0,75.5,12.8,2024-02-09
19527,10,128.5,123.8,1.2,75.4,12.6,62.8,75.3,75.8,12.7,2024-02-09
19528,11,128.8,124.1,1.2,75.3,12.6,62.7,75.3,75.8,12.7,2024-02-09
19529,12,129.5,124.8,1.2,75.3,12.6,62.7,75.3,75.8,12.7,2024-02-09
19530,13,129.7,125.0,1.2,75.3,12.5,62.8,75.3,75.9,12.7,2024-02-09
19531,14,129.6,124.9,1.2,75.4,12.4,63.0,75.3,75.8,12.5,2024-02-09
19532,15,128.9,124.2,1.2,75.4,12.4,63.0,75.3,75.8,12.5,2024-02-09
19533,16,128.3,123.6,1.2,75.2,12.4,62.8,75.2,75.8,12.5,2024-02-09
19534,17,128.9,124.2,1.2,75.2,12.5,62.7,75.1,75.7,12.7,2024-02-09
19535,18,129.4,124.7,1.2,75.3,12.8,62.5,75.2,75.7,13.0,2024-02-09
19536,19,128.5,125.0,0.0,75.3,13.1,62.2,75.2,75.8,13.3,2024-02-09
19537,20,129.7,126.2,0.0,75.2,13.3,61.9,75.2,75.7,13.4,2024-02-09
19538,21,130.6,127.1,0.0,75.2,13.2,62.0,75.1,75.7,13.3,2024-02-09
19539,22,129.1,125.6,0.0,75.3,13.1,62.2,75.3,75.8,13.2,2024-02-09
19540,23,121.3,117.8,0.0,75.4,12.7,62.7,75.4,75.8,12.8,2024-02-09
19541,24,119.5,116.0,0.0,75.4,12.4,63.0,75.3,75.8,12.6,2024-02-09
19542,,,,,,,,,,,2024-02-09
19543,AVG,126.63,122.55,0.57,75.24,12.58,62.66,75.19,75.71,12.74,2024-02-09
19544,,,,,,,,,,,2024-02-09
19545,MAX,130.6,127.1,1.2,75.4,13.3,63.1,75.4,75.9,13.4,2024-02-09
19546,MIN,119.4,115.9,0.0,74.9,12.0,61.9,74.8,75.4,12.2,2024-02-09
19547,1,120.0,116.5,0.0,75.1,12.3,62.8,75.0,75.6,12.5,2024-02-10
19548,2,120.2,116.7,0.0,75.1,12.3,62.8,75.0,75.5,12.5,2024-02-10
19549,3,116.2,112.7,0.0,75.1,11.8,63.3,75.0,75.4,12.0,2024-02-10
19550,4,114.9,111.4,0.0,75.0,11.6,63.4,74.9,75.4,11.8,2024-02-10
19551,5,113.7,110.2,0.0,74.8,11.4,63.4,74.7,75.2,11.6,2024-02-10
19552,6,117.4,113.9,0.0,74.8,11.5,63.3,74.7,75.1,11.8,2024-02-10
19553,7,116.6,112.5,0.6,74.7,11.5,63.2,74.6,75.1,11.8,2024-02-10
19554,8,115.7,111.1,1.1,74.6,11.5,63.1,74.5,75.0,11.8,2024-02-10
19555,9,116.2,111.6,1.1,74.7,11.7,63.0,74.6,75.0,11.9,2024-02-10
19556,10,115.1,110.5,1.1,75.0,11.6,63.4,74.9,75.3,11.9,2024-02-10
19557,11,115.8,111.1,1.2,75.1,11.7,63.4,75.0,75.4,11.9,2024-02-10
19558,12,115.9,111.2,1.2,75.1,11.6,63.5,75.0,75.5,11.8,2024-02-10
19559,13,115.3,110.6,1.2,74.9,11.5,63.4,74.8,75.3,11.7,2024-02-10
19560,14,115.9,111.2,1.2,74.9,11.5,63.4,74.8,75.2,11.7,2024-02-10
19561,15,116.6,111.9,1.2,74.9,11.4,63.5,74.8,75.2,11.6,2024-02-10
19562,16,117.6,113.0,1.1,74.7,11.5,63.2,74.7,75.2,11.7,2024-02-10
19563,17,132.0,127.4,1.1,74.4,12.4,62.0,74.4,75.0,12.4,2024-02-10
19564,18,134.5,129.8,1.2,74.6,12.5,62.1,74.5,75.0,12.5,2024-02-10
19565,19,132.5,129.0,0.0,75.0,12.8,62.2,74.9,75.3,12.9,2024-02-10
19566,20,132.8,129.3,0.0,74.9,13.2,61.7,74.8,75.4,13.3,2024-02-10
19567,21,133.1,129.6,0.0,74.9,13.3,61.6,74.9,75.4,13.3,2024-02-10
19568,22,134.1,130.6,0.0,75.1,13.2,61.9,75.0,75.5,13.2,2024-02-10
19569,23,120.7,117.2,0.0,75.1,12.5,62.6,75.0,75.6,12.6,2024-02-10
19570,24,119.9,116.4,0.0,75.1,12.3,62.8,74.9,75.5,12.6,2024-02-10
19571,,,,,,,,,,,2024-02-10
19572,AVG,120.95,116.89,0.55,74.9,12.03,62.87,74.81,75.3,12.2,2024-02-10
19573,,,,,,,,,,,2024-02-10
19574,MAX,134.5,130.6,1.2,75.1,13.3,63.5,75.0,75.6,13.3,2024-02-10
19575,MIN,113.7,110.2,0.0,74.4,11.4,61.6,74.4,75.0,11.6,2024-02-10
19576,1,119.4,115.9,0.0,75.1,12.2,62.9,75.0,75.4,12.3,2024-02-11
19577,2,119.0,115.5,0.0,75.1,12.0,63.1,75.0,75.5,12.2,2024-02-11
19578,3,120.5,117.0,0.0,75.0,12.0,63.0,74.9,75.4,12.1,2024-02-11
19579,4,120.3,116.8,0.0,74.9,11.8,63.1,74.8,75.3,12.0,2024-02-11
19580,5,120.1,116.6,0.0,74.9,11.7,63.2,74.8,75.3,11.9,2024-02-11
19581,6,120.3,116.8,0.0,74.9,11.7,63.2,74.8,75.3,11.7,2024-02-11
19582,7,120.4,116.4,0.5,74.8,11.6,63.2,74.7,75.2,11.8,2024-02-11
19583,8,121.2,116.5,1.2,74.9,11.8,63.1,74.8,75.2,11.9,2024-02-11
19584,9,120.9,116.2,1.2,75.0,11.9,63.1,74.9,75.41,12.1,2024-02-11
19585,10,120.4,115.7,1.2,75.0,12.0,63.0,74.9,75.5,12.2,2024-02-11
19586,11,124.9,120.2,1.2,74.9,12.2,62.7,74.8,75.4,12.4,2024-02-11
19587,12,125.4,120.7,1.2,75.0,12.2,62.8,74.9,75.4,12.3,2024-02-11
19588,13,125.4,120.7,1.2,75.0,12.2,62.8,74.9,75.4,12.3,2024-02-11
19589,14,125.5,120.8,1.2,75.0,12.1,62.9,74.9,75.4,12.3,2024-02-11
19590,15,125.9,121.2,1.2,74.9,12.1,62.8,74.8,75.4,12.3,2024-02-11
19591,16,125.5,120.8,1.2,74.8,12.1,62.7,74.7,75.3,12.2,2024-02-11
19592,17,127.1,122.4,1.2,74.7,12.1,62.6,74.7,75.2,12.2,2024-02-11
19593,18,125.9,121.2,1.2,74.6,12.0,62.6,74.6,75.1,12.2,2024-02-11
19594,19,125.5,122.0,0.0,74.6,12.2,62.4,74.6,75.1,12.3,2024-02-11
19595,20,125.3,121.8,0.0,74.7,12.6,62.1,74.6,75.2,12.7,2024-02-11
19596,21,127.3,123.8,0.0,74.6,13.0,61.6,74.5,75.1,13.2,2024-02-11
19597,22,126.4,122.9,0.0,74.5,13.1,61.4,74.4,75.0,13.2,2024-02-11
19598,23,120.3,116.8,0.0,74.5,12.7,61.8,74.4,75.0,12.9,2024-02-11
19599,24,111.3,107.8,0.0,74.6,12.2,62.4,74.5,75.0,12.4,2024-02-11
19600,,,,,,,,,,,2024-02-11
19601,AVG,122.68,118.6,0.57,74.83,12.15,62.69,74.75,75.27,12.3,2024-02-11
19602,,,,,,,,,,,2024-02-11
19603,MAX,127.3,123.8,1.2,75.1,13.1,63.2,75.0,75.5,13.2,2024-02-11
19604,MIN,111.3,107.8,0.0,74.5,11.6,61.4,74.4,75.0,11.7,2024-02-11
19605,1,109.4,105.9,0.0,74.5,11.9,62.6,74.4,74.9,12.2,2024-02-12
19606,2,109.2,105.7,0.0,74.4,11.7,62.7,74.3,74.8,12.0,2024-02-12
19607,3,108.6,105.1,0.0,74.4,11.5,62.9,74.3,74.8,11.8,2024-02-12
19608,4,108.9,105.4,0.0,74.4,11.4,63.0,74.3,74.8,11.7,2024-02-12
19609,5,109.6,106.1,0.0,74.3,11.3,63.0,74.2,74.7,11.5,2024-02-12
19610,6,110.1,106.6,0.0,74.2,11.2,63.0,74.1,74.7,11.4,2024-02-12
19611,7,114.5,110.4,0.6,74.2,11.3,62.9,74.1,74.6,11.7,2024-02-12
19612,8,115.8,109.9,2.4,74.5,11.4,63.1,74.4,74.7,11.7,2024-02-12
19613,9,112.0,106.6,1.9,74.5,11.5,63.0,74.4,74.9,11.9,2024-02-12
19614,10,107.7,103.0,1.2,74.3,11.6,62.7,74.2,74.8,11.9,2024-02-12
19615,11,104.4,99.7,1.2,74.3,11.5,62.8,74.2,74.7,11.8,2024-02-12
19616,12,104.0,99.3,1.2,74.4,11.4,63.0,74.3,74.7,11.7,2024-02-12
